TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349925245386753,1.2477759753865891,51.7055,-0.7307,main
2349926642089984,0.43307767489860843,134.9484,-0.6644,main
2349926642089985,0.4329023241409277,134.9482,-0.6642,main
2349926675644416,0.7619236587247346,136.7795,-0.7949,main
2349926675644417,0.7624607961032798,136.7797,-0.7947,main
2349926948274177,0.4186692693682014,153.04399999999995,-0.8135,main
2349927111852032,0.359835245495399,162.9644,-0.8549,main
2349927111852033,0.35975082058964014,162.9648,-0.8536,main
2349927162183681,0.3072843898269784,165.7837562,-0.65956083,main
2349927317372929,1.6278505480869139,175.1745868,-0.72636806,main
2349927329955841,0.9402741619677618,175.7548,-0.7866,main
2349927380287489,0.8123931517728153,178.8721,-0.7152,main
2349927384481793,1.5004359727475385,179.222,-0.6316,main
2349927384481795,0.5080850644946446,179.2212,-0.6636,main
2349927581614081,1.35404849963961,190.8361,-0.7546,main
2349927686471681,0.33979576274584006,197.1874,-0.7861,main
2349928001044481,0.8996536294752254,215.9041,-0.6759,main
2349928022016001,0.6170253744703649,217.0484,-0.8398,main
2349928068153345,0.544122990529065,219.8221,-0.6546,main
2349928097513473,0.8329331625744869,221.5139,-0.6709999999999999,main
2349928156233729,0.46710751467532036,225.0868,-0.8273,main
2349928248508417,0.726339266410365,230.6311,-0.7505,main
2349929737486337,0.7355629823500468,319.4945,-0.7468,main
2349930043670529,0.40159804470881333,337.6343,-0.6559,main
